province_code,province,hydro_pp_mw,mini_hydro_pp_mw,micro_hydro_pp_mw,geothermal_pp_mw,solar_pp_mw,wind_pp_mw,biogas_pp_mw,biomass_pp_mw,biofuel_pp_mw,waste_pp_mw,diesel_pp_mw,steam_pp_mw,gas_pp_mw,coal_gasification_pp_mw,combined_cycle_pp_mw,gas_engine_pp_mw,other_pp_mw,total_mw,renewable_capacity_mw,fossil_capacity_mw,renewable_share_pct,geothermal_reserve_mw,coal_reserve_mt,pdrb_per_kapita,geothermal_untapped_mw
11,Aceh,10.0,23.4,4.45,0.0,1.46,0.0,0.0,25.1,0,0.0,218.94,648.0,0.0,0,24.0,430.67,0,1386.01,64.41,1321.6100000000001,4.65,1031.0,507.05,45770.4,1031.0
12,North Sumatera,1195.55,18.5,183.98,710.54,17.34,0.0,23.27,374.91,0,0.0,190.44,1349.0,219.26,0,817.88,34.5,0,5135.16,2524.0899999999997,2611.08,49.15,1866.0,7.12,78310.29,1155.46
13,West Sumatera,243.0,78.74,1.95,89.25,3.38,0.0,1.7,81.27,0,0.0,20.29,432.5,64.5,0,0.0,0.0,0,1016.58,499.28999999999996,517.29,49.11,1648.0,26.04,59548.83,1558.75
14,Riau,114.0,0.0,0.06,0.0,46.71,0.0,41.26,854.35,0,0.0,195.98,1504.56,368.2,0,305.0,130.13,0,3560.24,1056.38,2503.87,29.67,45.0,378.23,176384.66,45.0
15,Jambi,492.0,3.2,1.01,0.0,1.87,0.0,6.2,119.08,0,0.0,19.26,318.0,100.0,0,0.0,116.92,0,1177.54,623.36,554.18,52.94,779.0,1272.53,92786.06,779.0
16,South Sumatera,0.0,21.01,0.36,213.33,13.57,0.0,16.16,822.13,0,0.0,46.84,3256.44,281.21,0,537.43,36.83,0,5245.31,1086.56,4158.75,20.71,1450.0,7804.87,80663.49,1236.67
17,Bengkulu,277.15,42.77,2.64,0.0,0.41,0.0,3.3,15.04,0,0.0,21.39,200.0,0.0,0,0.0,0.0,0,562.7,341.31,221.39,60.66,838.0,149.47,52304.54,838.0
18,Lampung,174.6,33.76,0.11,229.0,7.78,0.0,3.0,67.18,0,0.0,89.57,467.0,42.85,0,0.0,0.0,0,1114.85,515.4300000000001,599.42,46.23,1732.0,56.0,55009.07,1503.0
19,Bangka Belitung Islands,0.0,0.0,0.0,0.0,2.85,0.0,13.39,112.72,5,0.02,140.45,119.92,125.0,0,0.0,0.0,0,519.35,133.98000000000002,385.37,25.8,46.0,0.0,75322.53,46.0
21,Riau Islands,0.0,0.0,0.0,0.0,28.09,0.0,0.0,2.0,0,0.0,397.15,294.0,199.76,0,209.2,291.81,0,1422.02,30.09,1391.9199999999998,2.12,7.0,0.0,172458.76,7.0
31,Special Capital Region of Jakarta,0.0,0.0,0.0,0.0,65.33,0.0,0.0,0.0,0,0.0,504.12,400.0,0.0,0,4614.07,0.0,0,5583.52,65.33,5518.19,1.17,0.0,0.0,367687.07,0.0
32,West Java,2056.6,237.89,4.13,1260.68,630.85,0.0,0.0,0.0,0,14.0,432.01,4103.3,1141.65,0,4725.77,3.48,0,14610.35,4204.150000000001,10406.210000000001,28.78,4420.0,0.0,59864.61,3159.3199999999997
33,Central Java,229.8,133.23,9.76,72.8,108.61,0.0,0.0,24.7,0,8.0,96.85,10422.4,55.0,0,1879.65,0.0,0,13040.8,586.9,12453.9,4.5,1341.0,0.0,50823.64,1268.2
34,Special Region of Yogyakarta,0.0,0.0,0.5,0.0,4.17,0.0,0.0,3.8,0,0.0,8.31,0.0,0.0,0,0.0,0.0,0,16.78,8.469999999999999,8.31,50.48,10.0,0.0,55039.3,10.0
35,East Java,241.67,55.55,9.74,34.0,177.12,0.0,2.05,178.64,0,13.65,209.37,6965.64,176.43,0,2837.36,47.55,0,10948.77,712.4199999999998,10236.35,6.51,1299.0,0.0,80855.92,1265.0
36,Banten,0.0,0.0,15.5,0.0,91.53,0.0,0.0,0.0,0,0.0,165.53,11436.44,80.6,200,859.4,12.25,18,12879.25,107.03,12754.220000000001,0.83,518.0,0.0,74672.68,518.0
51,Bali,0.0,2.5,0.03,0.0,41.6,1.08,0.0,0.0,0,0.0,127.71,380.0,584.53,0,0.0,199.66,0,1337.11,45.21,1291.9,3.38,335.0,0.0,72658.49,335.0
52,West Nusa Tenggara,0.0,15.2,3.4,0.0,50.58,0.0,0.0,0.0,0,0.0,345.97,418.08,50.0,0,446.8,191.55,0,1521.58,69.17999999999999,1452.3999999999999,4.55,78.0,0.0,33667.41,78.0
53,East Nusa Tenggara,0.0,4.6,7.28,24.08,24.53,0.0,0.0,0.0,0,0.0,222.94,173.0,0.0,0,0.0,119.44,0,575.87,60.489999999999995,515.38,10.5,1195.0,0.0,25837.48,1170.92
61,West Kalimantan,0.0,1.32,5.28,0.0,7.39,0.0,10.22,146.16,0,0.0,323.45,417.0,34.0,0,0.0,0.0,0,944.83,170.37,774.45,18.03,65.0,11.22,56983.66,65.0
62,Central Kalimantan,0.0,0.0,0.77,0.0,3.12,0.0,34.25,407.32,0,0.0,119.06,389.0,0.0,0,0.0,155.68,0,1109.2,445.46,663.74,40.16,0.0,2959.9,84729.84,0.0
63,South Kalimantan,0.0,30.0,0.09,0.0,21.22,0.0,7.7,22.85,0,0.0,151.17,823.0,21.55,0,0.0,2.47,0,1080.06,81.86000000000001,998.1899999999999,7.58,50.0,3292.63,70576.83,50.0
