province_code,province,exploration_target_mt,total_inventory_mt,resource_inferred_mt,resource_indicated_mt,resource_measured_mt,resource_total_mt,reserve_total_mt
11,Aceh,1.16,20.92,314.58,401.94,326.23,1042.75,507.05
12,North Sumatera,0,14.62,10.24,8.48,7.55,26.26,7.12
13,West Sumatera,2.63,333.93,21.92,13.8,33.31,69.02,26.04
14,Riau,36.92,505.63,256.3,280.85,365.64,902.8,378.23
15,Jambi,142.37,1145.56,962.64,1203.29,1512.7,3678.63,1272.53
16,South Sumatera,4885.39,10769.38,5181.21,7723.28,7668.58,20573.07,7804.87
17,Bengkulu,44.28,211.92,95.95,88.02,162.28,346.24,149.47
18,Lampung,0,106.95,60.32,24.28,10.25,94.85,56
33,Central Java,0,0.82,0,0,0,0,0
35,East Java,0,0.08,0,0,0,0,0
36,Banten,5.47,52.2,0,0,0,0,0
61,West Kalimantan,2.26,463.44,19.28,13.15,38.55,70.98,11.22
62,Central Kalimantan,37,2803.04,3145.04,2919.29,3300.58,9364.91,2959.9
63,South Kalimantan,7.83,1710.81,3365.2,2913.94,6598.31,12877.45,3292.63
64,East Kalimantan,890.55,13901.22,9727.17,14876.76,21325.71,45929.64,15688.57
65,North Kalimantan,25.79,386.04,892.49,929.81,1018.39,2840.69,1092.39
72,Central Sulawesi,0.52,1.98,0,0,0,0,0
73,South Sulawesi,13.79,31.31,0,0,0,0,0
74,Southeast Sulawesi,0.64,0,0,0,0,0,0
76,West Sulawesi,11.47,26.26,0,0,0,0,0
82,North Maluku,8.22,0,0,0,0,0,0
91,Papua,5.12,31.36,0,0,0,0,0
92,West Papua,4.1,30.91,0,0,0,0,0
93,South Papua,0.8,0,0,0,0,0,0
94,Central Papua,1.28,0,0,0,0,0,0
96,Southwest Papua,89.56,1.91,6,5.7,7.2,18.9,4.09
