province_code,province,resource_speculative_mw,resource_hypothetical_mw,resource_possible_mw,reserve_probable_mw,reserve_proven_mw,total_mw
11,Aceh,324,159,523,25,0,1031
12,North Sumatera,225,388,613,39,601,1866
13,West Sumatera,446,598,469,50,85,1648
14,Riau,45,0,0,0,0,45
15,Jambi,352,87,295,35,10,779
16,South Sumatera,225,230,502,252,241,1450
17,Bengkulu,134,0,355,149,200,838
18,Lampung,375,28,796,273,260,1732
19,Bangka Belitung Islands,35,11,0,0,0,46
21,Riau Islands,7,0,0,0,0,7
32,West Java,720,526,1609,110,1455,4420
33,Central Java,141,271,524,130,275,1341
34,Special Region of Yogyakarta,0,0,10,0,0,10
35,East Java,70,365,770,59,35,1299
36,Banten,34,161,323,0,0,518
51,Bali,70,21,104,110,30,335
52,West Nusa Tenggara,6,0,11,61,0,78
53,East Nusa Tenggara,273,145,605,138,34,1195
61,West Kalimantan,65,0,0,0,0,65
63,South Kalimantan,49,1,0,0,0,50
64,East Kalimantan,32,0,0,0,0,32
65,North Kalimantan,20,17,6,0,0,43
71,North Sulawesi,59,51,571,108,150,939
72,Central Sulawesi,391,70,227,0,0,688
73,South Sulawesi,259,112,154,0,0,525
74,Southeast Sulawesi,200,36,80,0,0,316
75,Gorontalo,129,11,20,0,0,160
76,West Sulawesi,163,181,34,0,0,378
81,Maluku,325,73,128,36,2,564
82,North Maluku,190,7,321,133,55,706
92,West Papua,50,0,0,0,0,50
96,Southwest Papua,50,0,0,0,0,50
