province_code,province,hydro_pp_mw,mini_hydro_pp_mw,micro_hydro_pp_mw,geothermal_pp_mw,solar_pp_mw,wind_pp_mw,biogas_pp_mw,biomass_pp_mw,biofuel_pp_mw,waste_pp_mw,diesel_pp_mw,steam_pp_mw,gas_pp_mw,coal_gasification_pp_mw,combined_cycle_pp_mw,gas_engine_pp_mw,other_pp_mw,total_mw
11,Aceh,10,23.4,4.45,0,1.46,0,0,25.1,0,0,218.94,648,0,0,24,430.67,0,1386.01
12,North Sumatera,1195.55,18.5,183.98,710.54,17.34,0,23.27,374.91,0,0,190.44,1349,219.26,0,817.88,34.5,0,5135.16
13,West Sumatera,243,78.74,1.95,89.25,3.38,0,1.7,81.27,0,0,20.29,432.5,64.5,0,0,0,0,1016.58
14,Riau,114,0,0.06,0,46.71,0,41.26,854.35,0,0,195.98,1504.56,368.2,0,305,130.13,0,3560.24
15,Jambi,492,3.2,1.01,0,1.87,0,6.2,119.08,0,0,19.26,318,100,0,0,116.92,0,1177.54
16,South Sumatera,0,21.01,0.36,213.33,13.57,0,16.16,822.13,0,0,46.84,3256.44,281.21,0,537.43,36.83,0,5245.31
17,Bengkulu,277.15,42.77,2.64,0,0.41,0,3.3,15.04,0,0,21.39,200,0,0,0,0,0,562.7
18,Lampung,174.6,33.76,0.11,229,7.78,0,3,67.18,0,0,89.57,467,42.85,0,0,0,0,1114.85
19,Bangka Belitung Islands,0,0,0,0,2.85,0,13.39,112.72,5,0.02,140.45,119.92,125,0,0,0,0,519.35
21,Riau Islands,0,0,0,0,28.09,0,0,2,0,0,397.15,294,199.76,0,209.2,291.81,0,1422.02
31,Special Capital Region of Jakarta,0,0,0,0,65.33,0,0,0,0,0,504.12,400,0,0,4614.07,0,0,5583.52
32,West Java,2056.6,237.89,4.13,1260.68,630.85,0,0,0,0,14,432.01,4103.3,1141.65,0,4725.77,3.48,0,14610.35
33,Central Java,229.8,133.23,9.76,72.8,108.61,0,0,24.7,0,8,96.85,10422.4,55,0,1879.65,0,0,13040.8
34,Special Region of Yogyakarta,0,0,0.5,0,4.17,0,0,3.8,0,0,8.31,0,0,0,0,0,0,16.78
35,East Java,241.67,55.55,9.74,34,177.12,0,2.05,178.64,0,13.65,209.37,6965.64,176.43,0,2837.36,47.55,0,10948.77
36,Banten,0,0,15.5,0,91.53,0,0,0,0,0,165.53,11436.44,80.6,200,859.4,12.25,18,12879.25
51,Bali,0,2.5,0.03,0,41.6,1.08,0,0,0,0,127.71,380,584.53,0,0,199.66,0,1337.11
52,West Nusa Tenggara,0,15.2,3.4,0,50.58,0,0,0,0,0,345.97,418.08,50,0,446.8,191.55,0,1521.58
53,East Nusa Tenggara,0,4.6,7.28,24.08,24.53,0,0,0,0,0,222.94,173,0,0,0,119.44,0,575.87
61,West Kalimantan,0,1.32,5.28,0,7.39,0,10.22,146.16,0,0,323.45,417,34,0,0,0,0,944.83
62,Central Kalimantan,0,0,0.77,0,3.12,0,34.25,407.32,0,0,119.06,389,0,0,0,155.68,0,1109.2
63,South Kalimantan,0,30,0.09,0,21.22,0,7.7,22.85,0,0,151.17,823,21.55,0,0,2.47,0,1080.06
64,East Kalimantan,0,0,0.34,0,80.47,0,17.28,101.84,0,0,293.56,1032.26,280.68,0,177,61.06,0,2044.49
65,North Kalimantan,0,0.04,2.09,0,3.98,0,0,7.31,0,0,143.21,315,0,30,0,12,0,513.63
71,North Sulawesi,0,61.6,1.86,123.72,23.43,0.08,0,0,0,0,96.52,336,0,0,0,0,0,643.2
72,Central Sulawesi,581,57.96,5.84,0,1.19,0,0,16.77,0,0,246.43,5884.6,66,220,0,47.13,0,7126.9
73,South Sulawesi,737,89.5,3.36,0,14.86,150.75,0,19,0,0,224.87,990,432.99,0,0,0,0,2662.33
74,Southeast Sulawesi,0,2,3.7,0,3.95,0,0,0,0,0,205.02,198,25,0,0,97.8,0,535.47
75,Gorontalo,0,14.9,1.67,0,13.21,0,0,1.94,0,0,24.83,176,75,0,0,0,0,307.55
76,West Sulawesi,0,6,2.33,0,1.36,0,0,20.2,0,0,1.77,50,0,0,0,0,0,81.66
81,Maluku,0,0,0.12,0,2.96,0,0,0,0,0,206.34,0,0,0,0,146.79,0,356.22
82,North Maluku,0,0,0.01,0,6.16,0,0,0,0,0,151.72,6537,158.5,0,0,38.72,0,6892.1
91,Papua,20.05,0.06,3.43,0,10.75,0,2,1.6,0,0,91.5,24,0,0,0,260.07,0,413.46
92,West Papua,0,3.13,1.03,0,12.44,0,0,0.55,0,0,102.22,68,0,0,0,23.56,0,210.92
93,South Papua,0,0,0,0,4.66,0,0,3.5,0,0,18.38,0,0,0,0,44.78,0,71.32
94,Central Papua,0,0,0,0,2.16,0,0,0,0,0,225.53,414,0,0,0,42.96,0,684.65
95,Papua Mountains,0,0,4.66,0,0.66,0,0,0,0,0,14.02,0,0,0,0,0,0,19.34
96,Southwest Papua,0,3.6,0.04,0,2.37,0,0,2.5,0,0,53.36,0,0,0,0,85.9,0,147.77
